group,name,year,color,MtCO2eq
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,1990,#6060c0,5100605924.8958
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,1991,#6060c0,5050477631.801969
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,1992,#6060c0,5156781296.350806
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,1993,#6060c0,5267710945.109551
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,1994,#6060c0,5354403580.02304
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,1995,#6060c0,5416607620.368475
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,1996,#6060c0,5604991490.354849
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,1997,#6060c0,5678074725.81194
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,1998,#6060c0,5716139988.853005
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,1999,#6060c0,5789224942.406682
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,2000,#6060c0,5963063287.930791
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,2001,#6060c0,5866460169.577609
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,2002,#6060c0,5906906915.727285
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,2003,#6060c0,5955611360.970389
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,2004,#6060c0,6074040786.975241
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,2005,#6060c0,6103293898.635851
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,2006,#6060c0,6026493940.846896
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,2007,#6060c0,6116441394.635519
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,2008,#6060c0,5927315449.504206
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,2009,#6060c0,5497803176.594571
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,2010,#6060c0,5712756635.148647
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,2011,#6060c0,5583379328.800502
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Source,2012,#6060c0,5375002912.552026
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,1990,#6060c0,-822991112.4878582
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,1991,#6060c0,-810762750.6732401
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,1992,#6060c0,-803684123.3760631
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,1993,#6060c0,-773337897.7570869
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,1994,#6060c0,-831231224.8242441
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,1995,#6060c0,-796030910.5770634
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,1996,#6060c0,-819761953.1646837
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,1997,#6060c0,-770792411.7061626
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,1998,#6060c0,-714742487.3255938
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,1999,#6060c0,-647643292.6902556
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,2000,#6060c0,-683217275.663862
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,2001,#6060c0,-748164998.7171497
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,2002,#6060c0,-875664953.6090577
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,2003,#6060c0,-973649187.1194551
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,2004,#6060c0,-1008603255.3981943
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,2005,#6060c0,-1021780749.0532808
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,2006,#6060c0,-1037043422.770219
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,2007,#6060c0,-998699707.4607704
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,2008,#6060c0,-971385810.6221212
US GHG Inventory Emissions Sources and Sinks by Gas,CO2 Sink,2009,#6060c0,-953305673.3313286
