NAME,Em2010,Em2011,Em2012,Em2013,PopEm2010,PopEm2011,PopEm2012,PopEm2013,NumEm2010,NumEm2011,NumEm2012,NumEm2013,PowEm2010,PowEm2011,PowEm2012,PowEm2013,PopPowEm2010,PopPowEm2011,PopPowEm2012,PopPowEm2013,NumPowEm2010,NumPowEm2011,NumPowEm2012,NumPowEm2013
Alabama,101856412.821,108409313.91,98657876.2782,101706281.835,21.2840712434,22.5776208585,20.4789419549,21.0409870148,154,166,174,174,77666971.156,76967033.836,69148633.136,67502131.906,16.2294086506,16.0293654288,14.3535508535,13.96483536,24,24,24,24
Alaska,17511627.194,18628679.724,18871514.8463,18374572.778,24.5306235803,25.7524516661,25.8405230216,24.9949298602,63,66,67,68,2973285.418,3022165.002,3024212.648,2702235.08,4.16503529784,4.17786763712,4.14101555647,3.67585016024,11,13,14,14
Arizona,61228865.6794,59722827.6682,59721140.2875,61924908.4551,9.55388859354,9.23244876917,9.11613219108,9.344865267,79,89,89,87,55776343.464,53969079.092,53689746.72,56512945.962,8.70310050165,8.3429867153,8.19547024804,8.52816546736,26,26,26,26
Arkansas,41939225.6211,46010662.407,47047592.2207,46742350.1592,14.3515425014,15.6578419125,15.9492662693,15.7946802107,119,144,143,150,33175782.774,35233468.638,36727436.54,37040697.988,11.3527050023,11.9902660189,12.4507044275,12.5164005984,22,22,23,21
California,111068849.498,103883780.022,114975590.762,112470100.356,2.97503713875,2.75782897792,3.02568315514,2.93406479464,457,474,484,475,43751765.0517,36190638.0682,47052068.19,43156417.876,1.17191387597,0.96076202053,1.23821629612,1.12584345486,138,137,147,141
Colorado,50532514.4299,54300537.9081,53742034.8774,52171911.097,10.0100143556,10.608889088,10.3560015087,9.90286194887,138,150,154,156,42473369.264,40364122.922,40424670.889,39993808.355,8.41357373287,7.88608215888,7.78976742639,7.59131023997,34,33,34,32
Connecticut,10307078.6721,8715205.05637,8768501.57433,8817273.5,2.87970772101,2.42834531355,2.44127930817,2.45191249917,47,49,50,48,7806672.386,6328068.013,6262225.993,6636607.602,2.18111605242,1.76320972413,1.74349546616,1.84551166882,16,16,16,16
Delaware,4750822.898,6774650.013,9162516.675,8237706.465,5.28038770005,7.46119155383,9.99126187363,8.89842329292,20,22,22,22,4030149.144,3824963.251,4438211.227,3814674.559,4.47938187262,4.21258418476,4.83964528441,4.12063589483,8,8,8,8
District of Columbia,579739.826,456788.7,280592.114,264243.324,0.958049702128,0.737203045718,0.442974666378,0.408761285113,7,7,6,5,219213.192,130571.13,4029.634,0.0,0.36226100723,0.210726392135,0.00636163914705,0.0,1,1,1,0
Florida,146430996.898,140620531.012,132693082.79,128423307.752,7.76984916304,7.3687040453,6.86790573131,6.56800630455,179,183,187,186,124576826.802,114479579.168,110403905.176,107174629.744,6.61023399392,5.99888317908,5.71426631421,5.4812763833,67,69,70,69
Georgia,96153009.9954,87169859.0873,74832446.1802,73493430.374,9.89916143348,8.88565247546,7.54690578709,7.35510429059,155,162,168,170,80048684.888,70896436.51,59461657.912,57504735.654,8.24118614989,7.22682247249,5.99675078275,5.75498144236,33,33,34,34
Hawaii,9151627.89036,9363860.09445,8897354.08131,8273921.846,6.71072806174,6.80069757901,6.40055973449,5.89288007869,26,27,27,27,7370846.072,7483903.31,7100278.966,6745031.452,5.40491201857,5.43533997823,5.10778364422,4.80396868781,14,15,15,15
Idaho,3181679.908,2992897.958,3270419.67,4228941.535,2.02562134514,1.88953928393,2.04966167374,2.62319155146,41,44,44,43,679400.876,453690.468,715486.864,1343259.768,0.432541599447,0.286433408042,0.44841523449,0.833217401013,6,6,7,7
